molecule,communityId
NM_001039130,1
NM_001039131,1
NM_001039141,1
NM_001039199,1
NM_001039350,1
NM_001039355,1
NM_001039360,1
NM_001039372,1
NM_001039395,1
NM_001039396,1
NM_001039459,1
NM_001039467,1
NM_001039469,1
NM_001039479,1
NM_001039538,1
NM_001039547,1
NM_001039569,1
NM_001039570,1
NM_001039573,1
NM_001039577,1
NM_001039580,1
NM_001039590,1
NM_001039591,1
NM_001039613,1
NM_001039615,1
NM_001039618,1
NM_001039649,1
NM_001039650,1
NM_001039656,1
NM_001039667,1
NM_001039671,1
NM_001039672,1
NM_001039675,1
NM_001039690,1
NM_001039697,1
NM_001039709,1
NM_001039711,1
NM_001039712,1
NM_001039717,1
NM_001039753,1
NM_001039762,1
NM_001039763,1
NM_001039770,1
NM_001039771,1
NM_001039840,1
NM_001039844,1
NM_001039845,1
NM_001039886,1
NM_001039920,1
NM_001039937,1
NM_001039938,1
NM_001039948,1
NM_001039960,1
NM_001040000,1
NM_001040007,1
NM_001040022,1
NM_001040023,1
NM_001040033,1
NM_001040057,1
NM_001040100,1
NM_001040110,1
NM_001040113,1
NM_001040114,1
NM_001040134,1
NM_001040142,1
NM_001040143,1
NM_001040146,1
NM_001040147,1
NM_001040151,1
NM_001040152,1
NM_001040153,1
NM_001040157,1
NM_001040167,1
NM_001040168,1
NM_001040181,1
NM_001040182,1
NM_001040183,1
NM_001040185,1
NM_001040192,1
NM_001040200,1
NM_001040202,1
NM_001040273,1
NM_001040284,1
NM_001040402,1
NM_001040429,1
NM_001040432,1
NM_001040439,1
NM_001040445,1
NM_001040446,1
NM_001040450,1
NM_001040453,1
NM_001040458,1
NM_001040462,1
NM_001040612,1
NM_001040633,1
NM_001040647,1
NM_001040648,1
NM_001040649,1
NM_001040653,1
NM_001040661,1
NM_001040663,1
NM_001040665,1
NM_001040666,1
NM_001040708,1
NM_001040709,1
NM_001040712,1
NM_001042351,1
NM_001042355,1
NM_001042368,1
NM_001042383,1
NM_001042385,1
NM_001042386,1
NM_001042388,1
NM_001042400,1
NM_001042403,1
NM_001042404,1
NM_001042405,1
NM_001042412,1
NM_001042413,1
NM_001042414,1
NM_001042417,1
NM_001042424,1
NM_001042425,1
NM_001042430,1
NM_001042437,1
NM_001042452,1
NM_001042453,1
NM_001042459,1
NM_001042469,1
NM_001042470,1
NM_001042473,1
NM_001042475,1
NM_001042476,1
NM_001042478,1
NM_001042479,1
NM_001042480,1
NM_001042481,1
NM_001042482,1
NM_001042486,1
NM_001042492,1
NM_001042494,1
NM_001042495,1
NM_001042496,1
NM_001042497,1
NM_001042510,1
NM_001042517,1
NM_001042519,1
NM_001042521,1
NM_001042522,1
NM_001042533,1
NM_001042536,1
NM_001042540,1
NM_001042543,1
NM_001042548,1
NM_001042549,1
NM_001042550,1
NM_001042552,1
NM_001042553,1
NM_001042559,1
NM_001042572,1
NM_001042574,1
NM_001042583,1
NM_001042584,1
NM_001042585,1
NM_001042587,1
NM_001042594,1
NM_001042599,1
NM_001042601,1
NM_001042603,1
NM_001042610,1
NM_001042618,1
NM_001042633,1
NM_001042635,1
NM_001042646,1
NM_001042669,1
NM_001042678,1
NM_001042681,1
NM_001042683,1
NM_001042717,1
NM_001042723,1
NM_001042734,1
NM_001042749,1
NM_001042750,1
NM_001042751,1
NM_001042762,1
NM_001043,1
NM_001043229,1
NM_001043318,1
NM_001043351,1
NM_001043352,1
NM_001043353,1
NM_001044,1
NM_001044305,1
NM_001044369,1
NM_001044370,1
NM_001044385,1
NM_001044388,1
NM_001045,1
NM_001045556,1
NM_001045557,1
NM_001046,1
NM_001047160,1
NM_001047434,1
NM_001048166,1
NM_001048183,1
NM_001048200,1
NM_001048209,1
NM_001048210,1
NM_001048218,1
NM_001048249,1
NM_001050,1
NM_001051,1
NM_001053,1
NM_001056,1
NM_001058,1
NM_001060,1
NM_001068,1
NM_001071,1
NM_001071775,1
NM_001075098,1
NM_001076,1
NM_001076678,1
NM_001076682,1
NM_001076684,1
NM_001076778,1
NM_001076781,1
NM_001076785,1
NM_001076786,1
NM_001077,1
NM_001077181,1
NM_001077188,1
NM_001077195,1
NM_001077196,1
NM_001077197,1
NM_001077199,1
NM_001077203,1
NM_001077206,1
NM_001077207,1
NM_001077208,1
NM_001077239,1
NM_001077241,1
NM_001077243,1
NM_001077244,1
NM_001077261,1
NM_001077269,1
NM_001077351,1
NM_001077352,1
NM_001077358,1
NM_001077397,1
NM_001077399,1
NM_001077418,1
NM_001077426,1
NM_001077440,1
NM_001077441,1
NM_001077442,1
NM_001077443,1
NM_001077488,1
NM_001077489,1
NM_001077491,1
NM_001077492,1
NM_001077497,1
NM_001077498,1
NM_001077516,1
NM_001077525,1
NM_001077526,1
NM_001077619,1
NM_001077628,1
NM_001077653,1
NM_001077654,1
NM_001077690,1
NM_001077691,1
NM_001077692,1
NM_001077700,1
NM_001077701,1
NM_001077702,1
NM_001077703,1
NM_001077704,1
NM_001078,1
NM_001078166,1
NM_001078171,1
NM_001078172,1
NM_001079514,1
NM_001079516,1
NM_001079521,1
NM_001079522,1
NM_001079526,1
NM_001079533,1
NM_001079534,1
NM_001079535,1
NM_001079536,1
NM_001079539,1
NM_001079653,1
NM_001079668,1
NM_001079669,1
NM_001079673,1
NM_001079684,1
NM_001079685,1
NM_001079692,1
NM_001079802,1
NM_001079810,1
NM_001079812,1
NM_001079818,1
NM_001079823,1
NM_001079839,1
NM_001079840,1
NM_001079841,1
NM_001079842,1
NM_001079846,1
NM_001079858,1
NM_001079859,1
NM_001079860,1
NM_001079867,1
NM_001079870,1
NM_001079871,1
NM_001079872,1
NM_001079874,1
NM_001079877,1
NM_001079906,1
NM_001079907,1
NM_001080114,1
NM_001080115,1
NM_001080116,1
NM_001080121,1
NM_001080123,1
NM_001080124,1
NM_001080125,1
NM_001080156,1
NM_001080209,1
NM_001080378,1
NM_001080379,1
NM_001080383,1
NM_001080391,1
NM_001080393,1
NM_001080396,1
NM_001080401,1
NM_001080407,1
NM_001080408,1
NM_001080409,1
NM_001080415,1
NM_001080416,1
NM_001080417,1
NM_001080418,1
NM_001080419,1
NM_001080421,1
NM_001080423,1
NM_001080424,1
NM_001080428,1
NM_001080430,1
NM_001080432,1
NM_001080433,1
NM_001080435,1
NM_001080436,1
NM_001080437,1
NM_001080449,1
NM_001080450,1
