from,to
hsa-miR-136-5p,NM_001161520
hsa-miR-136-5p,NM_001162536
hsa-miR-136-5p,NM_001177599
hsa-miR-136-5p,NM_001190479
hsa-miR-136-5p,NM_001190484
hsa-miR-136-5p,NM_001193609
hsa-miR-136-5p,NM_001193610
hsa-miR-136-5p,NM_001193611
hsa-miR-136-5p,NM_001193613
hsa-miR-136-5p,NM_001205029
hsa-miR-136-5p,NM_001256182
hsa-miR-136-5p,NM_001256183
hsa-miR-136-5p,NM_001256346
hsa-miR-136-5p,NM_001256347
hsa-miR-136-5p,NM_001256348
hsa-miR-136-5p,NM_001256647
hsa-miR-136-5p,NM_001258311
hsa-miR-136-5p,NM_001260495
hsa-miR-136-5p,NM_001269045
hsa-miR-136-5p,NM_001269047
hsa-miR-136-5p,NM_001269048
hsa-miR-136-5p,NM_001269050
hsa-miR-136-5p,NM_001269055
hsa-miR-136-5p,NM_001271049
hsa-miR-136-5p,NM_001271985
hsa-miR-136-5p,NM_001278192
hsa-miR-136-5p,NM_001278194
hsa-miR-136-5p,NM_001287503
hsa-miR-136-5p,NM_001288564
hsa-miR-136-5p,NM_001288624
hsa-miR-136-5p,NM_001300910
hsa-miR-136-5p,NM_001303134
hsa-miR-136-5p,NM_001308294
hsa-miR-136-5p,NM_001317991
hsa-miR-136-5p,NM_001318936
hsa-miR-136-5p,NM_001318938
hsa-miR-136-5p,NM_001319988
hsa-miR-136-5p,NM_001319994
hsa-miR-136-5p,NM_001319996
hsa-miR-136-5p,NM_001322248
hsa-miR-136-5p,NM_001329222
hsa-miR-136-5p,NM_001346050
hsa-miR-136-5p,NM_001353902
hsa-miR-136-5p,NM_001353907
hsa-miR-136-5p,NM_001353908
hsa-miR-136-5p,NM_001354927
hsa-miR-136-5p,NM_001367621
hsa-miR-136-5p,NM_001378068
hsa-miR-136-5p,NM_001387690
hsa-miR-136-5p,NM_001491
hsa-miR-136-5p,NM_001843
hsa-miR-136-5p,NM_001922
hsa-miR-136-5p,NM_003780
hsa-miR-136-5p,NM_004311
hsa-miR-136-5p,NM_004493
hsa-miR-136-5p,NM_004521
hsa-miR-136-5p,NM_004581
hsa-miR-136-5p,NM_006751
hsa-miR-136-5p,NM_006973
hsa-miR-136-5p,NM_007051
hsa-miR-136-5p,NM_007121
hsa-miR-136-5p,NM_007126
hsa-miR-136-5p,NM_012257
hsa-miR-136-5p,NM_012341
hsa-miR-136-5p,NM_013275
hsa-miR-136-5p,NM_015503
hsa-miR-136-5p,NM_015510
hsa-miR-136-5p,NM_015621
hsa-miR-136-5p,NM_016072
hsa-miR-136-5p,NM_016261
hsa-miR-136-5p,NM_016274
hsa-miR-136-5p,NM_017830
hsa-miR-136-5p,NM_017915
hsa-miR-136-5p,NM_018082
hsa-miR-136-5p,NM_019610
hsa-miR-136-5p,NM_020141
hsa-miR-136-5p,NM_021135
hsa-miR-136-5p,NM_021947
hsa-miR-136-5p,NM_022494
hsa-miR-136-5p,NM_024080
hsa-miR-136-5p,NM_025040
hsa-miR-136-5p,NM_025149
hsa-miR-136-5p,NM_025182
hsa-miR-136-5p,NM_030754
hsa-miR-136-5p,NM_030760
hsa-miR-136-5p,NM_031303
hsa-miR-136-5p,NM_032047
hsa-miR-136-5p,NM_032420
hsa-miR-136-5p,NM_032649
hsa-miR-136-5p,NM_032765
hsa-miR-136-5p,NM_032795
hsa-miR-136-5p,NM_033025
hsa-miR-136-5p,NM_033427
hsa-miR-136-5p,NM_053046
hsa-miR-136-5p,NM_080732
hsa-miR-136-5p,NM_138350
hsa-miR-136-5p,NM_139166
hsa-miR-136-5p,NM_144564
hsa-miR-136-5p,NM_145005
hsa-miR-136-5p,NM_145655
hsa-miR-136-5p,NM_152599
hsa-miR-136-5p,NM_152715
hsa-miR-136-5p,NM_153464
hsa-miR-136-5p,NM_174901
hsa-miR-136-5p,NM_175038
hsa-miR-136-5p,NM_178238
hsa-miR-136-5p,NM_178562
hsa-miR-136-5p,NM_181831
hsa-miR-136-5p,NM_182836
hsa-miR-136-5p,NM_182974
hsa-miR-136-5p,NM_198335
hsa-miR-136-5p,XM_005250266
hsa-miR-136-5p,XM_005251591
hsa-miR-136-5p,XM_005258361
hsa-miR-136-5p,XM_005263804
hsa-miR-136-5p,XM_005263807
hsa-miR-136-5p,XM_005268651
hsa-miR-136-5p,XM_005274460
hsa-miR-136-5p,XM_011518037
hsa-miR-136-5p,XM_011529259
hsa-miR-136-5p,XM_017009991
hsa-miR-136-5p,XM_017027890
hsa-miR-136-5p,XM_024450806
hsa-miR-136-5p,XM_024454106
hsa-miR-136-5p,XM_024454107
hsa-miR-136-5p,XM_024454108
hsa-miR-136-5p,XM_047420056
hsa-miR-136-5p,XM_047423907
hsa-miR-136-5p,XM_047443453
hsa-miR-136-5p,XM_047448350
hsa-miR-136-5p,XM_047448353
hsa-miR-154-5p,NM_001007169
hsa-miR-154-5p,NM_001008744
hsa-miR-154-5p,NM_001009909
hsa-miR-154-5p,NM_001012455
hsa-miR-154-5p,NM_001033575
hsa-miR-154-5p,NM_001033667
hsa-miR-154-5p,NM_001040708
hsa-miR-154-5p,NM_001080956
hsa-miR-154-5p,NM_001099640
hsa-miR-154-5p,NM_001129883
hsa-miR-154-5p,NM_001130026
hsa-miR-154-5p,NM_001130709
hsa-miR-154-5p,NM_001136469
hsa-miR-154-5p,NM_001143674
hsa-miR-154-5p,NM_001160110
hsa-miR-154-5p,NM_001160111
hsa-miR-154-5p,NM_001165993
hsa-miR-154-5p,NM_001165994
hsa-miR-154-5p,NM_001166393
hsa-miR-154-5p,NM_001198777
hsa-miR-154-5p,NM_001198778
hsa-miR-154-5p,NM_001198779
hsa-miR-154-5p,NM_001204269
hsa-miR-154-5p,NM_001206943
hsa-miR-154-5p,NM_001206944
hsa-miR-154-5p,NM_001252008
hsa-miR-154-5p,NM_001256703
